Unnamed: 0,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
1496,GP,F,15,R,LE3,T,2,2,other,other,home,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,4,4,1,3,3,4.0,14,15,17
1497,MS,F,17,U,GT3,A,4,3,teacher,services,course,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,4,3,3,2,1,2,1.0,7,8,9
1498,MS,F,17,U,GT3,T,4,4,teacher,teacher,home,mother,2,3,1,no,yes,no,no,no,yes,yes,no,4,4,3,1,1,2,10.0,12,10,11
1499,GP,F,18,U,GT3,T,3,2,services,services,course,father,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,4,4,1,4,3,5.0,14,13,13
1500,GP,F,16,U,GT3,A,1,2,at_home,services,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,4,4,2.0,15,14,17
1501,GP,M,18,U,GT3,T,2,1,at_home,other,course,mother,1,1,0,yes,yes,no,yes,no,yes,no,no,4,2,4,1,1,5,1.0,13,12,12
1502,MS,F,17,U,GT3,T,4,4,health,teacher,course,father,1,1,0,no,no,no,no,yes,yes,no,yes,4,2,4,1,2,5,3.0,11,9,10
1503,GP,F,17,R,GT3,T,4,3,teacher,other,course,father,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,5,1,4,3,3.0,13,13,14
1504,GP,M,15,U,GT3,T,2,1,other,other,reputation,mother,1,3,0,no,no,no,yes,no,yes,no,yes,3,3,2,1,5,1,1.0,12,11,11
1505,MS,M,17,U,LE3,T,3,1,services,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,4,1,3,2,16.0,13,12,13
1506,GP,F,16,U,GT3,T,4,4,health,other,reputation,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,2,4,1,3,3,9.0,14,17,15
1507,GP,F,18,U,GT3,T,2,1,services,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,no,no,3,3,3,5,1,4,17.0,11,9,0
1508,GP,M,17,R,LE3,T,4,3,other,services,other,mother,2,2,0,no,no,no,yes,yes,yes,yes,yes,1,2,5,2,2,4,4.0,7,8,8
1509,MS,F,16,U,LE3,T,3,2,other,other,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,5,1,5,8.0,9,10,10
1510,MS,F,17,R,GT3,T,4,4,services,other,course,mother,2,2,0,no,no,no,no,yes,yes,no,no,5,2,2,1,1,1,5.0,11,10,11
1511,MS,M,17,R,GT3,T,2,1,other,services,reputation,father,2,1,0,no,no,no,no,yes,yes,no,yes,3,3,3,1,3,1,1.0,7,8,9
1512,GP,F,17,U,GT3,T,1,3,other,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,3,5,5,1,2,3,0.0,12,13,12
1513,GP,M,15,U,GT3,T,3,4,services,health,home,father,2,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,1,2,1,4.0,12,13,15
1514,GP,F,18,U,GT3,T,2,1,other,other,home,father,1,1,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,2,2,3,5,4.0,11,11,11
1515,MS,F,16,R,GT3,T,2,3,services,services,course,mother,2,3,0,yes,yes,no,no,yes,yes,yes,no,4,1,2,1,3,5,4.0,9,8,10
1516,MS,F,15,U,GT3,T,1,1,other,other,course,mother,1,2,0,no,no,no,yes,yes,yes,no,no,5,4,2,2,3,5,3.0,11,10,10
1517,GP,M,17,U,GT3,T,3,3,services,services,reputation,father,2,2,0,yes,yes,no,yes,no,yes,yes,yes,5,3,5,1,3,4,5.0,9,11,10
1518,MS,M,16,U,GT3,T,4,2,other,other,home,father,1,1,1,no,no,no,no,yes,yes,yes,yes,5,3,3,1,4,5,1.0,8,10,9
1519,MS,M,15,U,GT3,T,2,2,services,other,home,mother,4,1,0,no,no,no,yes,no,yes,no,yes,5,5,2,2,3,3,4.0,11,12,12
1520,GP,M,17,U,GT3,T,4,1,teacher,services,reputation,mother,1,2,1,no,no,no,yes,yes,yes,yes,yes,5,3,2,1,4,5,3.0,9,11,10
1521,MS,M,15,R,GT3,T,3,1,other,other,course,father,3,1,0,no,yes,no,yes,yes,yes,yes,no,5,3,1,1,2,5,7.0,9,10,11
1522,MS,M,15,R,LE3,T,4,1,teacher,services,home,father,2,1,0,no,yes,no,yes,yes,yes,no,no,2,2,5,1,5,1,6.0,10,11,11
1523,MS,F,15,U,GT3,T,1,2,at_home,other,home,mother,2,1,0,no,yes,no,yes,no,yes,yes,no,3,3,3,1,4,3,1.0,9,10,10
1524,MS,M,17,R,LE3,T,4,4,other,teacher,course,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,1,4,12.0,11,12,12
1525,MS,M,16,U,LE3,T,3,3,other,other,other,mother,1,4,0,no,yes,no,yes,yes,yes,yes,yes,4,4,2,1,5,3,2.0,12,10,11
1526,GP,F,16,R,GT3,A,3,2,services,services,course,mother,2,4,0,no,yes,no,no,yes,yes,yes,no,5,3,2,1,2,4,9.0,13,13,13
1527,GP,M,17,U,GT3,T,3,3,services,services,course,mother,2,3,3,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,5.0,9,10,10
1528,GP,M,15,U,GT3,T,2,1,services,other,reputation,father,3,4,0,no,no,no,no,yes,yes,yes,no,4,4,3,1,4,2,2.0,16,17,17
1529,GP,M,17,U,LE3,T,1,1,at_home,other,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,yes,1,3,2,2,4,4,2.0,13,13,13
1530,MS,M,15,U,GT3,T,2,2,other,services,other,father,1,2,0,no,yes,no,no,yes,yes,yes,no,4,1,5,1,1,2,3.0,10,9,10
1531,MS,M,15,U,GT3,T,1,1,at_home,services,course,mother,1,1,0,no,yes,no,yes,yes,yes,no,yes,4,3,5,1,1,3,25.0,14,15,16
1532,GP,F,18,U,GT3,T,3,3,other,services,home,father,1,1,0,no,yes,no,yes,no,yes,yes,yes,4,5,1,1,1,1,0.0,10,12,12
1533,GP,M,18,U,GT3,T,3,2,services,services,home,mother,1,2,2,no,yes,yes,no,yes,no,yes,no,3,4,3,1,2,5,3.0,8,7,7
1534,MS,F,17,R,LE3,A,1,1,other,other,course,mother,1,3,0,no,yes,no,no,no,yes,yes,no,4,3,3,1,1,3,0.0,14,14,15
1535,MS,F,16,R,GT3,T,4,4,services,teacher,home,mother,2,3,2,no,no,no,yes,yes,yes,no,yes,2,3,2,2,1,2,2.0,10,13,13
1536,GP,F,16,R,GT3,T,3,2,at_home,other,course,father,2,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,5,4,5,0.0,14,13,13
1537,GP,M,18,U,LE3,T,2,3,other,health,reputation,father,1,2,0,no,no,yes,yes,yes,yes,yes,no,2,3,1,2,2,4,1.0,11,11,12
1538,MS,M,17,R,LE3,T,2,1,services,services,other,mother,2,2,0,no,yes,no,yes,yes,no,yes,yes,4,4,4,1,1,2,1.0,8,10,11
1539,MS,M,16,R,GT3,T,4,3,health,other,course,father,4,2,0,no,no,no,no,yes,yes,no,no,4,1,3,1,5,5,0.0,8,13,10
1540,GP,F,17,R,GT3,T,3,4,other,services,course,father,1,3,0,no,no,no,no,yes,yes,yes,yes,5,1,2,1,1,5,2.0,16,14,14
1541,GP,F,16,U,LE3,T,1,1,at_home,at_home,reputation,father,1,2,0,no,no,no,yes,yes,yes,yes,no,4,4,2,1,1,2,2.0,14,14,14
1542,GP,F,17,U,LE3,T,2,1,at_home,other,course,mother,3,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,5,2,1,1,0.0,14,14,14
1543,GP,F,17,R,LE3,T,1,2,other,other,course,mother,2,2,0,no,no,no,no,yes,yes,yes,no,5,2,2,2,1,5,10.0,11,12,12
1544,GP,F,15,U,GT3,T,3,3,other,health,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,3,4,3,3,5,4,9.0,14,15,15
1545,GP,F,16,R,GT3,T,1,1,at_home,other,home,mother,2,2,0,no,yes,no,no,yes,yes,no,no,5,3,4,2,3,2,3.0,14,14,14
1546,GP,F,17,U,GT3,T,1,2,at_home,other,course,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,2,4,1,3,2,0.0,14,15,15
1547,GP,M,15,R,GT3,T,4,4,services,services,course,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,3,3,1,1,5,1.0,15,15,16
1548,GP,F,15,R,GT3,T,1,1,other,other,reputation,father,2,3,0,no,no,no,no,yes,yes,yes,yes,3,2,5,1,1,4,2.0,16,17,18
1549,MS,M,18,R,GT3,T,4,3,other,services,home,father,3,1,0,no,no,no,yes,yes,no,yes,yes,2,5,5,1,1,1,0.0,9,9,10
1550,GP,F,17,U,GT3,T,1,2,other,services,other,mother,4,1,0,no,yes,yes,yes,no,yes,yes,yes,3,5,3,1,2,3,5.0,14,12,12
1551,MS,F,16,U,GT3,T,2,2,services,other,course,other,2,1,0,no,no,no,yes,yes,yes,no,yes,5,2,2,1,1,5,1.0,14,12,13
1552,GP,F,15,U,LE3,T,4,2,teacher,services,course,father,1,1,0,no,yes,no,yes,yes,yes,no,yes,4,4,3,2,2,5,0.0,12,12,12
1553,GP,F,15,U,GT3,T,2,1,at_home,other,reputation,mother,2,1,0,no,no,yes,no,yes,yes,yes,no,5,3,3,1,4,5,0.0,11,12,13
1554,GP,F,16,U,GT3,T,2,2,services,services,other,mother,1,2,0,no,yes,no,no,no,yes,yes,no,5,1,3,4,1,1,4.0,14,14,14
1555,MS,F,18,R,LE3,T,2,3,other,services,other,mother,1,1,1,no,yes,no,yes,no,no,yes,yes,5,4,5,2,1,3,1.0,8,8,9
1556,MS,M,17,U,GT3,T,3,2,other,at_home,course,father,2,2,0,no,no,no,no,yes,no,yes,no,3,3,3,1,4,3,1.0,6,7,8
1557,MS,M,17,R,GT3,T,1,1,other,other,other,mother,1,2,0,no,no,no,no,no,yes,yes,yes,4,4,2,1,3,5,3.0,10,10,10
1558,GP,M,17,U,GT3,T,1,1,at_home,services,home,father,1,3,0,no,no,no,yes,yes,yes,yes,no,4,3,5,1,3,2,5.0,12,13,14
1559,GP,M,16,U,LE3,T,1,2,other,other,course,mother,2,1,0,no,yes,no,yes,yes,yes,yes,yes,4,5,5,2,2,4,4.0,10,9,11
1560,GP,F,18,R,GT3,T,1,1,at_home,other,reputation,father,1,2,0,yes,yes,no,yes,no,yes,yes,no,4,3,3,1,3,5,3.0,10,10,10
1561,MS,F,15,U,GT3,T,2,1,at_home,services,course,mother,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,5,1,1,1,9.0,11,11,11
1562,GP,M,17,U,GT3,T,4,2,health,other,home,mother,1,3,0,no,no,no,no,no,yes,yes,no,4,4,2,1,3,3,0.0,11,10,11
1563,GP,F,16,U,GT3,T,2,1,other,other,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,4,2,3,2,1,5,1.0,8,7,7
1564,MS,F,17,R,GT3,T,3,4,health,other,course,mother,3,2,0,no,no,no,yes,yes,no,yes,no,5,2,4,1,1,2,6.0,9,10,10
1565,MS,F,18,U,LE3,T,1,1,services,services,home,mother,1,2,1,no,yes,no,no,yes,yes,yes,yes,5,4,4,2,1,5,1.0,9,10,10
1566,GP,F,16,U,GT3,T,1,2,at_home,other,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,1,4,3.0,13,14,14
1567,GP,F,18,U,LE3,T,4,2,services,services,reputation,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,5,4,3,1,5,3,3.0,12,13,12
1568,GP,F,19,U,LE3,T,4,4,health,health,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,5,2,3,1,5,2,4.0,13,10,13
1569,MS,F,17,R,GT3,T,3,2,other,other,course,father,3,2,1,no,yes,no,no,yes,yes,no,no,5,3,3,1,1,5,2.0,10,9,10
1570,GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,3,3,5,1,4,5,5.0,9,9,10
1571,MS,F,16,R,GT3,T,2,2,other,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,5,3,3,2,1,1,1.0,14,15,16
1572,GP,F,15,U,GT3,T,1,2,at_home,other,course,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,1,4,2,1,3,5,0.0,13,13,13
1573,GP,F,16,U,GT3,A,1,2,other,at_home,home,mother,2,3,0,no,no,yes,no,yes,yes,yes,yes,4,2,3,1,2,1,1.0,13,14,16
1574,MS,M,15,U,GT3,T,4,4,health,teacher,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,no,4,2,5,1,2,5,11.0,10,12,12
1575,MS,M,17,R,GT3,T,4,3,other,other,home,mother,1,3,0,no,no,no,no,yes,yes,no,no,3,3,5,1,1,1,3.0,17,16,16
1576,GP,F,16,U,LE3,T,4,4,teacher,other,home,father,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,3,1,3,2,1.0,13,12,13
1577,GP,M,16,U,GT3,T,1,1,at_home,other,home,mother,1,3,0,no,no,yes,yes,no,yes,yes,no,4,2,3,1,5,4,9.0,11,11,11
1578,GP,M,15,U,GT3,T,4,2,other,services,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,yes,4,5,4,1,5,5,11.0,14,14,14
1579,GP,M,18,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,4,3,5,1,2,5,0.0,11,11,12
1580,GP,F,17,U,GT3,A,4,2,teacher,services,course,mother,1,2,1,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,4,2,2.0,14,14,14
1581,GP,M,17,R,LE3,T,4,3,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,no,yes,no,4,3,2,3,5,3,8.0,12,10,11
1582,GP,M,18,U,GT3,T,4,4,services,other,course,mother,2,2,3,no,yes,no,yes,yes,no,yes,no,4,2,5,1,1,5,3.0,9,9,10
1583,MS,M,17,R,GT3,T,1,1,other,other,course,father,3,1,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,5,1,5,1.0,10,10,10
1584,GP,M,16,U,LE3,T,4,4,health,services,home,mother,1,3,0,no,no,no,yes,yes,yes,no,no,3,3,2,1,2,5,3.0,12,12,14
1585,GP,M,16,U,LE3,T,2,3,other,other,home,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,8.0,11,11,11
1586,GP,M,16,U,GT3,T,1,2,at_home,other,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,no,no,4,4,2,1,3,4,6.0,14,15,16
1587,MS,F,18,U,GT3,T,3,2,other,services,reputation,father,1,2,0,no,yes,no,no,yes,yes,no,no,3,3,3,1,1,4,1.0,14,13,13
1588,MS,M,16,U,GT3,T,3,3,other,services,other,mother,2,1,0,no,no,no,yes,yes,yes,no,yes,5,2,3,1,2,3,2.0,14,13,13
1589,MS,F,15,R,GT3,T,3,3,other,services,other,mother,1,2,0,no,no,yes,no,yes,yes,no,no,3,2,5,2,3,1,2.0,7,8,8
1590,GP,M,16,U,LE3,A,3,3,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,1,4,3,1,1,7.0,13,13,13
1591,MS,F,16,R,GT3,T,2,2,other,other,course,mother,2,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,3,2,5,19.0,14,16,16
1592,GP,M,17,R,LE3,T,1,1,at_home,services,home,mother,3,1,0,yes,no,no,no,yes,yes,yes,no,5,2,1,4,2,3,4.0,11,12,14
1593,GP,M,15,U,GT3,T,1,0,at_home,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,no,4,5,3,1,2,3,9.0,16,15,16
1594,MS,F,18,R,GT3,T,1,1,at_home,other,course,other,2,1,0,no,yes,no,no,yes,yes,yes,yes,5,4,2,2,3,4,10.0,10,10,10
1595,MS,M,15,R,GT3,T,4,4,teacher,teacher,course,father,1,2,0,no,no,no,yes,yes,yes,no,no,4,2,3,2,1,5,5.0,12,13,12
1596,GP,F,15,U,GT3,T,1,1,at_home,at_home,course,father,2,2,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,5,3,1.0,10,9,10
1597,GP,F,20,U,GT3,T,4,4,other,other,other,mother,1,1,2,no,yes,no,yes,yes,yes,yes,yes,4,3,2,2,5,5,1.0,14,15,16
1598,GP,M,16,U,GT3,T,4,4,health,health,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,4,3,1,2,5,3.0,15,15,14
1599,GP,F,16,U,GT3,T,4,4,teacher,other,reputation,mother,1,1,0,no,no,no,no,yes,yes,yes,no,4,2,1,1,1,3,32.0,18,18,18
1600,GP,F,17,U,LE3,T,2,2,services,other,home,mother,2,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,2,1,2.0,11,12,12
1601,GP,M,17,U,GT3,T,4,4,other,teacher,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,4,1,2,4,4.0,10,11,12
1602,MS,F,17,R,GT3,T,4,4,services,at_home,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,4,4,2,1,3,3,1.0,15,16,16
1603,MS,M,16,R,LE3,T,4,4,other,services,course,mother,2,1,0,no,no,yes,yes,yes,yes,yes,no,4,4,4,1,1,5,1.0,15,16,17
1604,GP,F,16,U,LE3,T,4,4,other,services,course,father,1,2,0,no,yes,no,yes,yes,no,yes,yes,3,2,4,1,4,4,2.0,9,9,10
1605,GP,F,15,U,GT3,T,2,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,4,2,2,5,0.0,9,0,0
1606,GP,M,15,R,LE3,A,1,1,at_home,other,home,mother,1,2,0,yes,no,no,yes,no,yes,no,no,4,3,3,1,1,5,9.0,13,11,11
1607,MS,F,17,R,GT3,T,2,2,at_home,other,course,mother,2,2,3,no,no,no,no,yes,yes,yes,no,4,3,3,1,1,4,0.0,7,7,0
1608,MS,M,16,R,LE3,A,1,1,at_home,at_home,course,mother,3,1,0,no,no,no,yes,yes,yes,no,no,5,3,4,3,2,4,4.0,17,17,17
1609,MS,F,18,U,GT3,T,1,1,other,services,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,5,1,6.0,10,10,11
1610,GP,M,16,U,GT3,T,3,1,other,services,home,mother,1,4,0,yes,yes,no,yes,no,no,yes,no,5,3,3,1,3,3,1.0,8,9,10
1611,MS,F,16,U,GT3,T,1,1,other,other,course,mother,2,2,0,no,no,no,no,yes,yes,yes,no,5,5,2,1,1,5,8.0,5,5,7
1612,GP,M,16,U,LE3,T,2,2,other,other,other,mother,2,4,0,no,no,no,no,no,yes,yes,yes,4,3,3,1,1,1,2.0,13,14,14
1613,MS,M,19,R,LE3,T,4,4,teacher,health,course,mother,3,4,2,no,no,no,no,yes,yes,yes,no,4,3,3,3,4,3,1.0,7,6,8
1614,MS,F,18,R,GT3,T,2,3,at_home,other,course,mother,2,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,2,1,4,3,2.0,5,6,6
1615,GP,M,18,U,GT3,T,3,2,other,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,2,2,3,3,2.0,18,18,18
1616,GP,F,16,U,GT3,T,4,4,services,teacher,course,mother,1,3,0,no,no,no,yes,yes,yes,yes,yes,4,4,3,5,3,1,1.0,17,16,16
1617,MS,M,16,R,GT3,T,3,4,other,other,reputation,mother,2,2,1,no,no,yes,no,yes,yes,yes,no,4,3,4,1,4,5,6.0,8,13,10
1618,GP,M,16,R,GT3,T,2,2,at_home,services,course,mother,2,1,0,no,no,no,no,yes,yes,yes,yes,4,4,4,1,1,4,3.0,9,12,13
1619,MS,F,16,R,LE3,T,1,1,other,other,home,mother,1,1,2,no,yes,no,no,yes,yes,no,yes,5,1,3,2,1,5,0.0,11,11,11
1620,GP,M,18,U,GT3,T,2,2,services,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,2,5,2,3,5,2.0,12,13,13
1621,GP,F,15,U,LE3,T,4,4,teacher,health,home,father,1,2,0,no,yes,yes,no,no,yes,yes,no,4,4,5,1,4,5,3.0,12,15,15
1622,GP,M,17,U,LE3,T,1,1,other,at_home,course,mother,1,3,0,no,no,no,no,yes,yes,no,no,4,4,1,1,2,5,1.0,11,9,0
1623,GP,F,16,U,GT3,T,4,4,services,teacher,course,mother,2,2,0,yes,yes,no,yes,yes,no,yes,no,5,3,2,1,1,1,4.0,10,10,10
1624,GP,F,18,U,LE3,T,3,2,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,4,4,1,1,5,1.0,13,13,13
1625,GP,M,17,U,GT3,T,3,2,other,health,home,father,1,1,0,no,no,no,yes,yes,yes,yes,no,4,3,3,2,1,3,1.0,15,14,15
1626,GP,F,15,R,LE3,T,2,2,other,services,home,father,1,1,0,no,no,no,yes,no,yes,yes,no,3,3,2,1,1,3,2.0,18,19,19
1627,GP,M,18,U,GT3,T,4,3,other,other,reputation,mother,1,2,1,no,yes,no,yes,yes,no,no,yes,4,2,2,1,5,1,0.0,9,11,10
1628,MS,M,15,U,LE3,T,3,2,other,at_home,course,father,1,2,0,no,no,no,yes,no,yes,yes,yes,5,3,3,1,4,3,2.0,12,13,14
1629,GP,F,16,U,GT3,T,4,4,health,other,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,4,2,1,1,30.0,14,13,13
1630,GP,F,15,U,GT3,A,1,1,at_home,services,home,mother,3,3,0,no,yes,no,no,yes,yes,yes,no,3,4,5,2,1,3,3.0,15,15,15
1631,GP,M,15,U,LE3,T,4,1,other,at_home,home,mother,4,2,0,no,yes,no,yes,yes,yes,yes,yes,2,3,5,2,1,1,8.0,16,17,18
1632,GP,F,18,U,GT3,T,2,2,other,services,course,mother,1,1,0,no,no,no,no,no,yes,no,yes,4,2,5,1,1,1,6.0,13,14,14
1633,GP,F,15,U,GT3,T,1,1,at_home,other,reputation,father,1,1,0,no,yes,no,no,yes,yes,yes,no,3,1,5,1,1,1,3.0,12,13,13
1634,GP,M,15,U,LE3,T,1,1,other,other,course,father,1,3,0,no,no,no,no,yes,yes,yes,yes,4,3,5,1,2,4,1.0,14,14,14
1635,GP,F,18,U,GT3,T,4,4,at_home,services,home,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,4,1,4,5,9.0,14,13,13
1636,GP,M,16,U,LE3,T,2,1,services,services,course,mother,1,2,0,no,no,no,yes,yes,yes,no,yes,3,3,2,1,3,3,3.0,10,11,10
1637,GP,M,19,U,GT3,T,2,3,at_home,services,course,other,2,3,0,no,yes,no,no,yes,yes,yes,yes,4,4,2,2,1,3,17.0,10,10,16
1638,GP,M,17,R,GT3,T,1,1,at_home,other,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,1,1.0,15,15,16
1639,GP,M,15,U,GT3,T,2,2,services,services,home,father,2,1,0,no,no,no,yes,yes,yes,yes,yes,3,1,1,1,2,3,1.0,12,13,14
1640,GP,M,16,U,GT3,T,3,1,services,services,course,mother,4,2,0,no,yes,no,no,yes,yes,yes,yes,4,5,4,1,2,1,1.0,8,0,0
1641,GP,F,18,U,GT3,T,4,2,teacher,at_home,course,father,1,2,0,no,no,no,no,yes,yes,yes,yes,5,1,3,2,1,5,3.0,15,14,15
1642,GP,M,17,U,GT3,A,1,1,at_home,other,course,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,1,3,1,5,5,5,3.0,14,14,16
1643,MS,M,17,R,GT3,T,2,1,other,at_home,reputation,mother,2,2,1,no,yes,no,no,yes,yes,no,no,4,4,2,2,1,4,3.0,10,11,12
1644,GP,F,17,U,GT3,T,4,4,teacher,at_home,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,5,4,5,1,3,2,1.0,10,9,10
1645,GP,F,18,U,GT3,T,1,1,at_home,services,home,mother,1,2,0,no,no,no,yes,no,yes,yes,yes,4,4,3,1,2,5,8.0,16,16,17
1646,GP,F,18,R,GT3,T,4,4,teacher,health,reputation,father,1,1,0,no,no,no,yes,yes,yes,no,no,4,1,5,1,4,5,1.0,12,13,14
1647,GP,F,18,U,GT3,T,4,4,health,services,course,mother,1,2,0,yes,yes,no,no,yes,yes,yes,yes,5,4,5,1,2,2,8.0,10,11,10
1648,GP,M,17,U,LE3,T,4,4,other,services,home,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,1,2,5,1.0,13,14,15
1649,GP,M,17,U,LE3,A,3,3,other,other,reputation,mother,2,2,0,no,yes,no,no,yes,yes,no,no,5,3,4,2,2,4,3.0,12,12,13
1650,GP,M,18,R,LE3,T,2,1,services,other,course,mother,2,1,0,no,no,no,no,yes,yes,no,yes,5,5,4,1,1,3,2.0,15,14,15
1651,GP,M,17,U,LE3,T,2,2,other,other,reputation,father,1,2,0,no,no,no,no,yes,no,yes,no,4,3,2,1,1,1,31.0,9,8,9
1652,MS,M,18,R,GT3,T,1,0,other,other,course,mother,2,2,0,no,no,no,no,yes,yes,yes,yes,4,3,5,4,1,4,2.0,13,11,11
1653,GP,M,17,U,GT3,T,4,4,health,health,reputation,mother,2,4,0,yes,no,no,yes,yes,yes,yes,yes,1,3,2,1,1,5,2.0,12,12,12
1654,MS,F,17,R,GT3,T,2,2,at_home,other,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,4,1,2,5,1.0,12,13,14
1655,GP,M,17,U,LE3,T,2,1,other,other,reputation,mother,2,1,0,yes,yes,no,no,no,yes,yes,no,3,2,1,1,2,5,4.0,10,13,13
1656,GP,F,17,U,GT3,T,1,1,at_home,other,reputation,mother,1,3,0,no,no,no,yes,yes,yes,no,no,4,2,4,1,3,3,0.0,11,10,10
1657,MS,M,19,U,LE3,T,3,2,other,other,course,mother,2,2,1,no,no,no,no,yes,yes,yes,yes,5,3,4,1,2,5,9.0,7,8,8
1658,MS,M,19,U,GT3,T,1,1,at_home,services,course,mother,1,2,1,no,yes,no,yes,no,yes,yes,yes,5,3,3,5,2,1,1.0,10,9,10
1659,GP,F,15,U,LE3,A,2,3,other,other,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,3,2,4.0,9,11,11
1660,GP,F,17,U,GT3,T,4,3,health,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,1,4,1,1,5,2.0,12,11,12
1661,MS,M,17,R,LE3,T,4,4,services,teacher,course,father,2,2,0,no,no,no,no,yes,yes,yes,no,4,3,2,1,1,5,3.0,17,18,17
1662,GP,M,16,U,GT3,T,3,2,other,services,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,3,3,2,1,1,5,3.0,12,13,13
1663,GP,F,19,U,GT3,T,2,3,services,other,home,other,1,1,1,yes,yes,no,no,no,no,yes,yes,4,4,3,1,3,1,1.0,8,9,10
1664,GP,F,17,U,GT3,T,1,1,other,services,home,father,1,3,0,yes,yes,no,yes,yes,yes,yes,no,3,4,2,5,1,4,1.0,15,16,17
1665,MS,F,19,U,GT3,A,1,2,other,services,other,other,1,3,0,no,no,no,no,no,yes,yes,no,4,3,2,1,2,3,6.0,12,12,13
1666,MS,F,19,U,GT3,T,2,2,other,other,course,other,1,3,1,no,no,no,no,yes,no,yes,yes,5,2,1,1,1,1,10.0,6,8,8
1667,GP,F,17,U,GT3,A,2,2,services,other,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,2,1,1,5,1.0,14,16,17
1668,GP,F,15,U,GT3,T,3,2,services,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,5,2,1,1,5,9.0,11,11,10
